Date,Language,Count
2013-12-23,Portuguese,1
2013-12-23,English,1
2013-12-21,Spanish,1
2013-12-21,English,1
2013-12-19,German,1
2013-12-19,English,1
2013-12-13,English,1
2013-12-12,Spanish,1
2013-12-07,German,1
2013-12-06,Spanish,1
2013-12-05,English,1
2013-11-30,English,1
2013-11-26,French,1
2013-11-25,English,1
2013-11-17,German,1
2013-11-11,Portuguese,1
2013-11-07,English,1
2013-11-04,English,1
2013-11-03,English,1
2013-10-21,English,1
2013-10-04,English,1
2013-10-03,Hungarian,1
2013-10-02,English,2
2013-09-29,English,2
2013-09-28,English,1
2013-09-24,French,1
2013-09-24,English,1
2013-09-23,English,1
2013-09-20,English,1
2013-09-18,English,1
2013-09-10,English,1
2013-09-08,German,2
2013-09-03,Italian,1
2013-08-31,Arabic,1
2013-08-31,English,1
2013-08-25,English,1
2013-08-23,English,1
2013-08-13,Spanish,1
2013-08-13,English,2
2013-08-10,Korean,1
2013-08-09,German,1
2013-08-08,English,1
2013-08-06,Spanish,1
2013-08-04,English,1
2013-08-02,English,1
2013-08-01,English,1
2013-07-28,English,1
2013-07-25,English,1
2013-07-24,English,1
2013-07-18,English,2
2013-07-15,English,2
2013-07-13,Portuguese,1
2013-07-12,English,2
2013-07-11,English,2
2013-07-09,English,1
2013-07-04,German,1
2013-07-04,English,1
2013-06-30,English,2
2013-06-25,English,1
2013-06-22,English,1
2013-06-19,English,1
2013-06-18,Greek,1
2013-06-18,English,2
2013-06-17,English,2
2013-06-15,English,1
2013-06-14,English,2
2013-06-13,English,1
2013-06-11,English,1
2013-06-08,English,1
2013-06-06,English,2
2013-06-05,English,3
2013-06-04,Portuguese,1
2013-06-03,English,1
2013-06-02,Japanese,1
2013-06-02,English,1
2013-06-01,Korean,1
2013-06-01,English,1
2013-05-30,Spanish,1
2013-05-27,English,1
2013-05-24,Portuguese,1
2013-05-24,English,1
2013-05-23,English,1
2013-05-20,French,1
2013-05-20,English,2
2013-05-18,English,2
2013-05-17,Spanish,1
2013-05-17,English,1
2013-05-16,English,1
2013-05-15,English,2
2013-05-14,English,1
2013-05-13,English,1
2013-05-11,English,2
2013-05-10,English,1
2013-05-09,Portuguese,1
2013-05-09,English,2
2013-05-08,French,1
2013-05-07,English,2
2013-05-06,Portuguese,1
2013-05-06,English,2
2013-05-05,Spanish,1
2013-05-05,French,1
2013-05-05,English,6
2013-05-04,English,1
2013-05-03,English,3
2013-04-30,English,2
2013-04-28,Spanish,1
2013-04-28,English,3
2013-04-27,Spanish,1
2013-04-24,Spanish,1
2013-04-23,English,1
2013-04-22,English,1
2013-04-19,English,1
2013-04-18,English,1
2013-04-17,Portuguese,1
2013-04-17,English,1
2013-04-15,English,2
2013-04-13,German,1
2013-04-12,English,3
2013-04-09,English,1
2013-04-07,English,1
2013-04-01,English,1
2013-03-31,English,1
2013-03-30,Spanish,1
2013-03-30,English,1
2013-03-27,English,1
2013-03-24,Spanish,1
2013-03-17,Czech,1
2013-03-14,English,1
2013-03-12,Spanish,1
2013-03-12,Portuguese,1
2013-03-12,English,3
2013-03-11,English,2
2013-03-08,English,1
2013-03-05,English,1
2013-03-03,English,1
2013-02-23,Dutch,1
2013-02-20,Swedish,1
2013-02-19,English,2
2013-02-16,English,1
2013-02-14,English,1
2013-02-12,Spanish,1
2013-02-07,English,1
2013-02-06,English,1
2013-02-04,English,1
2013-01-29,English,1
2013-01-26,Spanish,1
2013-01-25,Spanish,1
2013-01-24,English,1
2013-01-19,French,1
2013-01-18,German,2
2013-01-17,English,1
2013-01-16,English,1
2013-01-15,English,1
2013-01-13,English,1
2013-01-07,English,1
2013-01-06,English,1
2013-01-05,Spanish,1
2013-01-01,Spanish,1
2012-12-24,English,1
2012-12-23,Spanish,1
2012-12-23,Italian,1
2012-12-23,English,1
2012-12-22,Italian,1
2012-12-22,English,1
2012-12-19,English,1
2012-12-18,English,2
2012-12-15,English,2
2012-12-14,English,1
2012-12-11,English,1
2012-12-09,English,1
2012-12-08,Greek,1
2012-12-04,English,1
2012-12-03,English,1
2012-11-27,French,1
2012-11-21,English,2
2012-11-19,English,1
2012-11-18,English,2
2012-11-15,English,1
2012-11-12,English,1
2012-11-11,English,1
2012-11-03,English,1
2012-10-27,English,1
2012-10-25,English,1
2012-10-21,English,3
2012-10-19,English,1
2012-10-17,English,1
2012-10-16,English,1
2012-10-15,German,1
2012-10-09,English,1
2012-10-08,English,1
2012-10-07,French,1
2012-10-01,English,1
2012-09-28,English,1
2012-09-26,German,1
